Customer_Job,Current,_30_Jan,_31_60,_61_90,_90,Total,Aging_Month,Parent_Column,True_Parent_Field
 - No Customer/Project -,9829.18,1273.44,0.0,0.0,25069.8,36172.42,2022-02-02,, - No Customer/Project -
 - No Customer/Project -,0.0,0.0,11102.62,0.0,25069.8,36172.42,2022-03-03,, - No Customer/Project -
 - No Customer/Project -,0.0,0.0,0.0,11102.62,25069.8,36172.42,2022-04-04,, - No Customer/Project -
 - No Customer/Project -,0.0,0.0,0.0,0.0,36172.42,36172.42,2022-05-05,, - No Customer/Project -
/2Parkside Health Center,2190.56,1846.28,60.0,0.0,0.0,4096.84,2019-07-31,,UNITYHC
/2Parkside Health Center,5752.68,2190.56,1846.28,60.0,0.0,9849.52,2019-08-31,,UNITYHC
1 South Park Clinic,2059.82,1321.02,0.0,0.0,0.0,3380.84,2019-03-31,,UWH
1 South Park Clinic,2022.53,0.0,0.0,0.0,0.0,2022.53,2019-04-30,,UWH
1 South Park Clinic,1685.99,0.0,0.0,0.0,0.0,1685.99,2019-05-31,,UWH
1 South Park Clinic,1772.24,0.0,0.0,0.0,0.0,1772.24,2019-06-30,,UWH
1 South Park Clinic,1970.61,0.0,0.0,0.0,0.0,1970.61,2019-07-31,,UWH
1 South Park Clinic,1677.21,0.0,0.0,0.0,0.0,1677.21,2019-08-31,,UWH
1 South Park Clinic,1614.99,0.0,0.0,770.69,829.07,3214.75,2019-12-31,,UWH
1 South Park Clinic,1614.99,0.0,770.69,829.07,0.0,3214.75,2019-11-30,,UWH
1 South Park Clinic,1614.99,770.69,829.07,0.0,0.0,3214.75,2019-10-30,,UWH
1 South Park Clinic,2385.68,829.07,0.0,0.0,0.0,3214.75,2019-09-30,,UWH
1 South Park Clinic,2441.3,0.0,0.0,0.0,0.0,2441.3,2020-03-31,,UWH
1 South Park Clinic,2959.34,0.0,0.0,0.0,0.0,2959.34,2020-02-29,,UWH
1 South Park Clinic,2230.27,0.0,0.0,0.0,0.0,2230.27,2020-01-31,,UWH
100 W Gore - Pediatrics,11.16,0.0,0.0,0.0,0.0,11.16,2021-04-30,,OHI
100 W Gore - Pediatrics,4475.64,0.0,0.0,0.0,0.0,4475.64,2021-05-31,,OHI
100 W Gore - Pediatrics,5581.22,11.16,0.0,0.0,0.0,5592.38,2021-06-30,,OHI
100 W Gore - Pediatrics,2798.06,0.0,11.16,0.0,0.0,2809.22,2021-07-31,,OHI
100 W Gore - Pediatrics,3268.86,0.0,0.0,11.16,0.0,3280.02,2021-08-31,,OHI
100 W Gore - Pediatrics,3518.46,2114.3,0.0,0.0,11.16,5643.92,2021-09-30,,OHI
100 W Gore - Pediatrics,3150.4,2346.3,2114.3,0.0,0.0,7611.0,2021-10-31,,OHI
100 W Gore - Pediatrics,3327.5,2168.1,2346.3,2114.3,0.0,9956.2,2021-11-30,,OHI
100 W Gore - Pediatrics,894.52,2432.98,2168.1,2346.3,2114.3,9956.2,2021-12-31,,OHI
100 W Gore - Pediatrics,0.0,894.52,2432.98,2168.1,3623.4,9119.0,2022-01-31,,OHI
100 W Gore - Pediatrics,0.0,0.0,894.52,2432.98,5791.5,9119.0,2022-02-02,,OHI
100 W Gore - Pediatrics,0.0,0.0,0.0,894.52,8224.48,9119.0,2022-03-03,,OHI
100 W Gore - Pediatrics,0.0,0.0,0.0,0.0,9119.0,9119.0,2022-04-04,,OHI
100 W Gore - Pediatrics,0.0,0.0,0.0,0.0,9119.0,9119.0,2022-05-05,,OHI
114548Strasburg,515.43,0.0,0.0,0.0,0.0,515.43,2020-04-30,,LGMG
114548Strasburg,1807.57,0.0,0.0,0.0,0.0,1807.57,2020-03-31,,LGMG
114548Strasburg,2405.24,0.0,0.0,0.0,0.0,2405.24,2020-02-29,,LGMG
114548Strasburg,2591.76,0.0,0.0,0.0,0.0,2591.76,2020-01-31,,LGMG
11St. Francis Hospital-Hospitalist,20368.84,0.0,0.0,0.0,0.0,20368.84,2019-12-31,,ALH
11St. Francis Hospital-Hospitalist,20368.84,0.0,0.0,0.0,0.0,20368.84,2019-11-30,,ALH
11St. Francis Hospital-Hospitalist,20368.84,0.0,0.0,0.0,0.0,20368.84,2019-10-30,,ALH
11St. Francis Hospital-Hospitalist,20368.84,0.0,0.0,0.0,0.0,20368.84,2019-09-30,,ALH
11St. Francis Hospital-Hospitalist,28932.01,0.0,0.0,0.0,0.0,28932.01,2021-01-31,,ALH
11St. Francis Hospital-Hospitalist,17874.79,9547.12,9554.7,0.0,0.0,36976.61,2021-03-31,,ALH
11St. Francis Hospital-Hospitalist,28999.67,9554.7,0.0,0.0,0.0,38554.37,2021-02-28,,ALH
11St. Francis Hospital-Hospitalist,29537.85,8088.25,9547.12,9554.7,0.0,56727.92,2021-04-30,,ALH
11St. Francis Hospital-Hospitalist,28982.81,9786.54,8088.25,9547.12,9554.7,65959.42,2021-05-31,,ALH
11St. Francis Hospital-Hospitalist,19552.12,9615.4,9786.54,8088.25,9554.7,56597.01,2021-06-30,,ALH
11St. Francis Hospital-Hospitalist,28595.08,0.0,9615.4,9786.54,17642.95,65639.97,2021-07-31,,ALH
11St. Francis Hospital-Hospitalist,19600.04,0.0,0.0,0.0,0.0,19600.04,2021-08-31,,ALH
11St. Francis Hospital-Hospitalist,18582.27,0.0,0.0,0.0,0.0,18582.27,2021-09-30,,ALH
11St. Francis Hospital-Hospitalist,26831.94,0.0,0.0,0.0,0.0,26831.94,2021-10-31,,ALH
11St. Francis Hospital-Hospitalist,18840.1,0.0,0.0,0.0,0.0,18840.1,2021-11-30,,ALH
11St. Francis Hospital-Hospitalist,26577.76,-0.39,0.0,0.0,0.0,26577.37,2021-12-31,,ALH
11St. Francis Hospital-Hospitalist,9554.7,0.0,0.0,0.0,0.0,9554.7,2020-12-31,,ALH
11St. Francis Hospital-Hospitalist,19645.58,0.0,0.0,0.0,0.0,19645.58,2020-11-30,,ALH
11St. Francis Hospital-Hospitalist,17225.35,0.0,0.0,0.0,0.0,17225.35,2020-10-31,,ALH
11St. Francis Hospital-Hospitalist,15815.47,9306.96,0.0,0.0,0.0,25122.43,2020-09-30,,ALH
11St. Francis Hospital-Hospitalist,28367.06,0.0,0.0,0.0,0.0,28367.06,2020-08-31,,ALH
11St. Francis Hospital-Hospitalist,17965.58,0.0,0.0,0.0,0.0,17965.58,2020-07-31,,ALH
11St. Francis Hospital-Hospitalist,19382.34,0.0,0.0,0.0,0.0,19382.34,2020-06-30,,ALH
11St. Francis Hospital-Hospitalist,18776.89,0.0,0.0,0.0,0.0,18776.89,2020-05-31,,ALH
11St. Francis Hospital-Hospitalist,17557.41,0.0,0.0,0.0,0.0,17557.41,2020-04-30,,ALH
11St. Francis Hospital-Hospitalist,18315.75,0.0,0.0,0.0,0.0,18315.75,2020-03-31,,ALH
11St. Francis Hospital-Hospitalist,31829.1,0.0,0.0,0.0,0.0,31829.1,2020-02-29,,ALH
11St. Francis Hospital-Hospitalist,21593.05,0.0,0.0,0.0,0.0,21593.05,2020-01-31,,ALH
12th and Utica - UPC - Neurology,3503.25,0.0,0.0,0.0,0.0,3503.25,2019-03-31,,OPG
12th and Utica - UPC - Neurology,3984.66,18.62,0.0,0.0,0.0,4003.28,2019-04-30,,OPG
12th and Utica - UPC - Neurology,3207.43,1909.45,18.62,0.0,0.0,5135.5,2019-05-31,,OPG
12th and Utica - UPC - Neurology,3761.85,0.0,0.0,18.62,0.0,3780.47,2019-06-30,,OPG
12th and Utica - UPC - Neurology,4126.95,0.0,0.0,0.0,18.62,4145.57,2019-07-31,,OPG
12th and Utica - UPC - Neurology,4255.7,0.0,0.0,0.0,0.0,4255.7,2019-08-31,,OPG
12th and Utica - UPC - Neurology,3682.14,0.0,0.0,2014.81,0.0,5696.95,2019-12-31,,OPG
12th and Utica - UPC - Neurology,3682.14,0.0,2014.81,0.0,0.0,5696.95,2019-11-30,,OPG
12th and Utica - UPC - Neurology,3682.14,2014.81,0.0,0.0,0.0,5696.95,2019-10-30,,OPG
12th and Utica - UPC - Neurology,5696.95,0.0,0.0,0.0,0.0,5696.95,2019-09-30,,OPG
12th and Utica - UPC - Neurology,3136.88,20.0,0.0,0.0,0.0,3156.88,2021-01-31,,OPG
12th and Utica - UPC - Neurology,3522.81,0.0,0.0,0.0,0.0,3522.81,2021-03-31,,OPG
12th and Utica - UPC - Neurology,4362.62,1406.97,20.0,0.0,0.0,5789.59,2021-02-28,,OPG
12th and Utica - UPC - Neurology,3759.55,0.0,0.0,0.0,0.0,3759.55,2021-04-30,,OPG
12th and Utica - UPC - Neurology,3851.55,0.0,0.0,0.0,0.0,3851.55,2021-05-31,,OPG
12th and Utica - UPC - Neurology,4656.12,0.0,0.0,0.0,0.0,4656.12,2021-06-30,,OPG
12th and Utica - UPC - Neurology,3788.98,0.0,0.0,0.0,0.0,3788.98,2021-07-31,,OPG
12th and Utica - UPC - Neurology,4153.42,0.0,0.0,0.0,0.0,4153.42,2021-08-31,,OPG
12th and Utica - UPC - Neurology,2261.4,2068.11,0.0,0.0,0.0,4329.51,2021-09-30,,OPG
12th and Utica - UPC - Neurology,2516.82,0.0,0.0,0.0,0.0,2516.82,2021-10-31,,OPG
12th and Utica - UPC - Neurology,3316.2,0.0,0.0,0.0,0.0,3316.2,2021-11-30,,OPG
12th and Utica - UPC - Neurology,2183.78,0.0,0.0,0.0,0.0,2183.78,2021-12-31,,OPG
12th and Utica - UPC - Neurology,3303.94,0.0,0.0,0.0,0.0,3303.94,2020-12-31,,OPG
12th and Utica - UPC - Neurology,3959.08,0.0,0.0,0.0,0.0,3959.08,2020-11-30,,OPG
12th and Utica - UPC - Neurology,3771.32,0.0,0.0,0.0,0.0,3771.32,2020-10-31,,OPG
12th and Utica - UPC - Neurology,3478.11,0.0,0.0,0.0,0.0,3478.11,2020-09-30,,OPG
12th and Utica - UPC - Neurology,3199.01,0.0,0.0,0.0,0.0,3199.01,2020-08-31,,OPG
12th and Utica - UPC - Neurology,3742.55,0.0,0.0,0.0,0.0,3742.55,2020-07-31,,OPG
12th and Utica - UPC - Neurology,2867.62,0.0,0.0,0.0,2014.81,4882.43,2020-06-30,,OPG
12th and Utica - UPC - Neurology,18.62,0.0,0.0,0.0,2014.81,2033.43,2020-05-31,,OPG
12th and Utica - UPC - Neurology,62.4,0.0,0.0,0.0,2014.81,2077.21,2020-04-30,,OPG
12th and Utica - UPC - Neurology,5603.06,0.0,0.0,0.0,2014.81,7617.87,2020-03-31,,OPG
12th and Utica - UPC - Neurology,3524.36,0.0,0.0,0.0,2014.81,5539.17,2020-02-29,,OPG
12th and Utica - UPC - Neurology,5770.91,0.0,0.0,0.0,2014.81,7785.72,2020-01-31,,OPG
12th and Utica - UPC - Urology,4653.71,2401.67,0.0,0.0,0.0,7055.38,2019-03-31,,OPG
12th and Utica - UPC - Urology,6286.1,0.0,0.0,0.0,0.0,6286.1,2019-04-30,,OPG
12th and Utica - UPC - Urology,4610.01,0.0,0.0,0.0,0.0,4610.01,2019-05-31,,OPG
12th and Utica - UPC - Urology,6101.41,30.0,0.0,0.0,0.0,6131.41,2019-06-30,,OPG
12th and Utica - UPC - Urology,5855.43,0.0,0.0,0.0,0.0,5855.43,2019-07-31,,OPG
12th and Utica - UPC - Urology,7346.04,3220.37,0.0,0.0,0.0,10566.41,2019-08-31,,OPG
12th and Utica - UPC - Urology,4088.98,2259.47,0.0,0.0,0.0,6348.45,2019-12-31,,OPG
12th and Utica - UPC - Urology,6348.45,0.0,0.0,0.0,0.0,6348.45,2019-11-30,,OPG
12th and Utica - UPC - Urology,6348.45,0.0,0.0,0.0,0.0,6348.45,2019-10-30,,OPG
12th and Utica - UPC - Urology,6348.45,0.0,0.0,0.0,0.0,6348.45,2019-09-30,,OPG
12th and Utica - UPC - Urology,4602.78,0.0,0.0,0.0,0.0,4602.78,2021-01-31,,OPG
12th and Utica - UPC - Urology,4898.56,0.0,0.0,0.0,0.0,4898.56,2021-03-31,,OPG
12th and Utica - UPC - Urology,4994.81,908.05,0.0,0.0,0.0,5902.86,2021-02-28,,OPG
12th and Utica - UPC - Urology,3756.24,0.0,0.0,0.0,0.0,3756.24,2021-04-30,,OPG
12th and Utica - UPC - Urology,3313.85,0.0,0.0,0.0,0.0,3313.85,2021-05-31,,OPG
12th and Utica - UPC - Urology,4859.07,0.0,0.0,0.0,0.0,4859.07,2021-06-30,,OPG
12th and Utica - UPC - Urology,5873.83,0.0,0.0,0.0,0.0,5873.83,2021-07-31,,OPG
12th and Utica - UPC - Urology,3275.92,0.0,0.0,0.0,0.0,3275.92,2021-08-31,,OPG
12th and Utica - UPC - Urology,4876.18,0.0,0.0,0.0,0.0,4876.18,2021-09-30,,OPG
12th and Utica - UPC - Urology,4797.12,0.0,0.0,0.0,0.0,4797.12,2021-10-31,,OPG
12th and Utica - UPC - Urology,4919.7,1441.92,0.0,0.0,0.0,6361.62,2021-11-30,,OPG
12th and Utica - UPC - Urology,2168.94,0.0,0.0,0.0,0.0,2168.94,2021-12-31,,OPG
12th and Utica - UPC - Urology,5321.8,2171.12,0.0,0.0,0.0,7492.92,2020-12-31,,OPG
12th and Utica - UPC - Urology,6678.27,0.0,0.0,0.0,199.11,6877.38,2020-11-30,,OPG
12th and Utica - UPC - Urology,5267.23,1691.33,0.0,199.11,0.0,7157.67,2020-10-31,,OPG
12th and Utica - UPC - Urology,4513.53,0.0,199.11,0.0,0.0,4712.64,2020-09-30,,OPG
12th and Utica - UPC - Urology,4736.18,199.11,0.0,0.0,0.0,4935.29,2020-08-31,,OPG
12th and Utica - UPC - Urology,2232.44,0.0,0.0,0.0,0.0,2232.44,2020-07-31,,OPG
12th and Utica - UPC - Urology,3864.62,0.0,0.0,0.0,0.0,3864.62,2020-06-30,,OPG
12th and Utica - UPC - Urology,2177.31,0.0,0.0,0.0,0.0,2177.31,2020-05-31,,OPG
12th and Utica - UPC - Urology,2465.68,0.0,0.0,0.0,0.0,2465.68,2020-04-30,,OPG
12th and Utica - UPC - Urology,6893.32,0.0,0.0,0.0,0.0,6893.32,2020-03-31,,OPG
12th and Utica - UPC - Urology,4748.11,0.0,0.0,0.0,0.0,4748.11,2020-02-29,,OPG
12th and Utica - UPC - Urology,5005.04,0.0,0.0,0.0,0.0,5005.04,2020-01-31,,OPG
12th and Utica - UPC - Urology,1312.12,0.0,0.0,0.0,0.0,1312.12,2022-01-31,,OPG
12th and Utica - UPC - Urology,1312.12,0.0,0.0,0.0,0.0,1312.12,2022-02-02,,OPG
12th and Utica - UPC - Urology,1312.12,0.0,0.0,0.0,0.0,1312.12,2022-03-03,,OPG
12th and Utica - UPC - Urology,1312.12,0.0,0.0,0.0,0.0,1312.12,2022-04-04,,OPG
12th and Utica - UPC - Urology,1312.12,0.0,0.0,0.0,0.0,1312.12,2022-05-05,,OPG
14128- Grand Strand,225.0,0.0,0.0,0.0,0.0,225.0,2020-10-31,,TEAMHEALTH-ALL SITES (MAIN)
21CO,0.0,-363.44,0.0,0.0,0.0,-363.44,2019-03-31,,21CO
21CO,0.0,-754.38,0.0,0.0,0.0,-754.38,2019-07-31,,21CO
21CO,0.0,0.0,-754.38,0.0,0.0,-754.38,2019-08-31,,21CO
263 7th Ave - Faculty Practice,1790.0,0.0,0.0,0.0,0.0,1790.0,2019-12-31,,NYP
263 7th Ave - Faculty Practice,1790.0,0.0,0.0,0.0,0.0,1790.0,2019-11-30,,NYP
263 7th Ave - Faculty Practice,1790.0,0.0,0.0,0.0,0.0,1790.0,2019-10-30,,NYP
263 7th Ave - Faculty Practice,1790.0,0.0,0.0,0.0,0.0,1790.0,2019-09-30,,NYP
263 7th Ave - Faculty Practice,1225.9,0.0,0.0,0.0,0.0,1225.9,2021-01-31,,NYP
263 7th Ave - Faculty Practice,1467.86,0.0,0.0,0.0,0.0,1467.86,2021-03-31,,NYP
263 7th Ave - Faculty Practice,2210.99,0.0,0.0,0.0,0.0,2210.99,2021-02-28,,NYP
263 7th Ave - Faculty Practice,1882.87,0.0,0.0,0.0,0.0,1882.87,2021-04-30,,NYP
263 7th Ave - Faculty Practice,1655.75,0.0,0.0,0.0,0.0,1655.75,2021-05-31,,NYP
263 7th Ave - Faculty Practice,1370.35,0.0,0.0,0.0,0.0,1370.35,2021-06-30,,NYP
263 7th Ave - Faculty Practice,1366.38,0.0,0.0,0.0,0.0,1366.38,2021-07-31,,NYP
263 7th Ave - Faculty Practice,3115.96,0.0,0.0,0.0,0.0,3115.96,2021-08-31,,NYP
263 7th Ave - Faculty Practice,2980.29,0.0,0.0,0.0,0.0,2980.29,2021-09-30,,NYP
263 7th Ave - Faculty Practice,1277.88,0.0,0.0,0.0,0.0,1277.88,2021-10-31,,NYP
263 7th Ave - Faculty Practice,2214.42,0.0,0.0,0.0,0.0,2214.42,2021-11-30,,NYP
263 7th Ave - Faculty Practice,2877.76,0.0,0.0,0.0,0.0,2877.76,2021-12-31,,NYP
263 7th Ave - Faculty Practice,1385.98,0.0,0.0,0.0,0.0,1385.98,2020-12-31,,NYP
263 7th Ave - Faculty Practice,1581.25,0.0,0.0,0.0,0.0,1581.25,2020-11-30,,NYP
263 7th Ave - Faculty Practice,2949.67,0.0,0.0,0.0,0.0,2949.67,2020-10-31,,NYP
263 7th Ave - Faculty Practice,2632.35,0.0,0.0,0.0,0.0,2632.35,2020-09-30,,NYP
263 7th Ave - Faculty Practice,1309.62,0.0,0.0,0.0,0.0,1309.62,2020-08-31,,NYP
263 7th Ave - Faculty Practice,3145.02,552.46,0.0,0.0,0.0,3697.48,2020-07-31,,NYP
263 7th Ave - Faculty Practice,2264.12,0.0,0.0,0.0,1281.0,3545.12,2020-06-30,,NYP
263 7th Ave - Faculty Practice,1213.94,0.0,0.0,1281.0,0.0,2494.94,2020-05-31,,NYP
263 7th Ave - Faculty Practice,2879.14,0.0,1281.0,0.0,0.0,4160.14,2020-04-30,,NYP
263 7th Ave - Faculty Practice,4209.0,1281.0,0.0,0.0,0.0,5490.0,2020-03-31,,NYP
263 7th Ave - Faculty Practice,3163.32,0.0,0.0,0.0,0.0,3163.32,2020-02-29,,NYP
263 7th Ave - Faculty Practice,2345.25,509.0,0.0,0.0,0.0,2854.25,2020-01-31,,NYP
263 7th Ave - Faculty Practice,4128.51,0.0,0.0,0.0,0.0,4128.51,2022-01-31,,NYP
263 7th Ave - Faculty Practice,4128.51,0.0,0.0,0.0,0.0,4128.51,2022-02-02,,NYP
263 7th Ave - Faculty Practice,4128.51,0.0,0.0,0.0,0.0,4128.51,2022-03-03,,NYP
263 7th Ave - Faculty Practice,4128.51,0.0,0.0,0.0,0.0,4128.51,2022-04-04,,NYP
263 7th Ave - Faculty Practice,4128.51,0.0,0.0,0.0,0.0,4128.51,2022-05-05,,NYP
263 7th Avenue - Department of Pediatrics,612.0,0.0,0.0,0.0,0.0,612.0,2019-12-31,,NYP
263 7th Avenue - Department of Pediatrics,612.0,0.0,0.0,0.0,0.0,612.0,2019-11-30,,NYP
263 7th Avenue - Department of Pediatrics,612.0,0.0,0.0,0.0,0.0,612.0,2019-10-30,,NYP
263 7th Avenue - Department of Pediatrics,612.0,0.0,0.0,0.0,0.0,612.0,2019-09-30,,NYP
263 7th Avenue - Department of Pediatrics,2109.79,0.0,0.0,0.0,0.0,2109.79,2021-01-31,,NYP
263 7th Avenue - Department of Pediatrics,3982.71,0.0,0.0,0.0,0.0,3982.71,2021-03-31,,NYP
263 7th Avenue - Department of Pediatrics,5765.87,0.0,0.0,0.0,0.0,5765.87,2021-02-28,,NYP
263 7th Avenue - Department of Pediatrics,4690.56,0.0,0.0,0.0,0.0,4690.56,2021-04-30,,NYP
263 7th Avenue - Department of Pediatrics,9136.01,0.0,0.0,0.0,0.0,9136.01,2021-05-31,,NYP
263 7th Avenue - Department of Pediatrics,4796.29,0.0,0.0,0.0,0.0,4796.29,2021-06-30,,NYP
263 7th Avenue - Department of Pediatrics,8321.12,0.0,0.0,0.0,0.0,8321.12,2021-07-31,,NYP
263 7th Avenue - Department of Pediatrics,8594.08,0.0,0.0,0.0,0.0,8594.08,2021-08-31,,NYP
263 7th Avenue - Department of Pediatrics,8593.04,0.0,0.0,0.0,0.0,8593.04,2021-09-30,,NYP
263 7th Avenue - Department of Pediatrics,4379.46,3524.83,0.0,0.0,0.0,7904.29,2021-10-31,,NYP
263 7th Avenue - Department of Pediatrics,9873.8,0.0,3524.83,0.0,0.0,13398.63,2021-11-30,,NYP
263 7th Avenue - Department of Pediatrics,14610.99,0.0,0.0,3524.83,0.0,18135.82,2021-12-31,,NYP
263 7th Avenue - Department of Pediatrics,2947.45,0.0,0.0,0.0,0.0,2947.45,2020-12-31,,NYP
263 7th Avenue - Department of Pediatrics,3866.99,0.0,0.0,0.0,0.0,3866.99,2020-11-30,,NYP
263 7th Avenue - Department of Pediatrics,8252.34,0.0,0.0,0.0,0.0,8252.34,2020-10-31,,NYP
263 7th Avenue - Department of Pediatrics,3846.75,0.0,0.0,0.0,0.0,3846.75,2020-09-30,,NYP
263 7th Avenue - Department of Pediatrics,8992.08,1801.13,3170.78,0.0,0.0,13963.99,2020-08-31,,NYP
263 7th Avenue - Department of Pediatrics,7134.6,3170.78,0.0,0.0,0.0,10305.38,2020-07-31,,NYP
263 7th Avenue - Department of Pediatrics,7173.01,0.0,0.0,0.0,0.0,7173.01,2020-06-30,,NYP
263 7th Avenue - Department of Pediatrics,4971.91,0.0,0.0,0.0,0.0,4971.91,2020-05-31,,NYP
263 7th Avenue - Department of Pediatrics,4927.98,0.0,0.0,0.0,0.0,4927.98,2020-04-30,,NYP
263 7th Avenue - Department of Pediatrics,3751.76,0.0,0.0,0.0,0.0,3751.76,2020-03-31,,NYP
263 7th Avenue - Department of Pediatrics,1994.56,0.0,0.0,0.0,0.0,1994.56,2020-02-29,,NYP
263 7th Avenue - Department of Pediatrics,3675.88,99.5,0.0,0.0,0.0,3775.38,2020-01-31,,NYP
263 7th Avenue - Department of Pediatrics,36085.8,4379.46,0.0,0.0,3524.83,43990.09,2022-01-31,,NYP
263 7th Avenue - Department of Pediatrics,30591.46,5494.34,4379.46,0.0,3524.83,43990.09,2022-02-02,,NYP
263 7th Avenue - Department of Pediatrics,25854.27,4737.19,5494.34,4379.46,3524.83,43990.09,2022-03-03,,NYP
263 7th Avenue - Department of Pediatrics,21234.81,4619.46,4737.19,5494.34,7904.29,43990.09,2022-04-04,,NYP
263 7th Avenue - Department of Pediatrics,15385.2,5849.61,4619.46,4737.19,13398.63,43990.09,2022-05-05,,NYP
"4/25/2017	WCCA OB - Winthrop Specialty Center East",510.59,2825.14,0.0,0.0,0.0,3335.73,2019-12-31,,WUH
"4/25/2017	WCCA OB - Winthrop Specialty Center East",3335.73,0.0,0.0,0.0,0.0,3335.73,2019-11-30,,WUH
"4/25/2017	WCCA OB - Winthrop Specialty Center East",3335.73,0.0,0.0,0.0,0.0,3335.73,2019-10-30,,WUH
"4/25/2017	WCCA OB - Winthrop Specialty Center East",3335.73,0.0,0.0,0.0,0.0,3335.73,2019-09-30,,WUH
621 Degraw Street - Department of Pediatrics,1211.5,0.0,0.0,0.0,0.0,1211.5,2019-12-31,,NYP
621 Degraw Street - Department of Pediatrics,1211.5,0.0,0.0,0.0,0.0,1211.5,2019-11-30,,NYP
621 Degraw Street - Department of Pediatrics,1211.5,0.0,0.0,0.0,0.0,1211.5,2019-10-30,,NYP
621 Degraw Street - Department of Pediatrics,1211.5,0.0,0.0,0.0,0.0,1211.5,2019-09-30,,NYP
621 Degraw Street - Department of Pediatrics,2084.72,0.0,0.0,0.0,0.0,2084.72,2020-04-30,,NYP
621 Degraw Street - Department of Pediatrics,4486.38,0.0,0.0,0.0,0.0,4486.38,2020-03-31,,NYP
621 Degraw Street - Department of Pediatrics,2401.66,0.0,0.0,0.0,0.0,2401.66,2020-02-29,,NYP
621 Degraw Street - Department of Pediatrics,3064.5,0.0,0.0,0.0,0.0,3064.5,2020-01-31,,NYP
69th Street,2888.75,0.0,0.0,0.0,0.0,2888.75,2019-03-31,,Ophthalmology Department (MAIN)
69th Street,3587.25,0.0,0.0,0.0,0.0,3587.25,2019-04-30,,Ophthalmology Department (MAIN)
69th Street,2703.25,0.0,0.0,0.0,0.0,2703.25,2019-05-31,,Ophthalmology Department (MAIN)
69th Street,4937.0,0.0,0.0,0.0,0.0,4937.0,2019-06-30,,Ophthalmology Department (MAIN)
73rd Street,720.81,1135.93,0.0,0.0,0.0,1856.74,2019-12-31,,MOMC
73rd Street,1856.74,0.0,0.0,0.0,0.0,1856.74,2019-11-30,,MOMC
73rd Street,1856.74,0.0,0.0,0.0,0.0,1856.74,2019-10-30,,MOMC
73rd Street,1856.74,0.0,0.0,0.0,0.0,1856.74,2019-09-30,,MOMC
73rd Street,0.0,0.0,0.0,0.0,720.81,720.81,2020-06-30,,MOMC
73rd Street,0.0,0.0,0.0,384.64,336.17,720.81,2020-05-31,,MOMC
73rd Street,0.0,0.0,384.64,0.0,336.17,720.81,2020-04-30,,MOMC
73rd Street,0.0,384.64,0.0,336.17,0.0,720.81,2020-03-31,,MOMC
73rd Street,384.64,0.0,336.17,1135.93,0.0,1856.74,2020-02-29,,MOMC
